id,set_id
oai:repositorio.utn.edu.ec:123456789/6613,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7840,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7690,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/6973,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7703,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/6066,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8038,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8108,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7672,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8753,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7808,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8436,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7581,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7639,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2644,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7711,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5611,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4632,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5698,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5587,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4633,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5520,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5740,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4631,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/589,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1860,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1946,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/559,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1685,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1107,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1017,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/749,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/3726,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1006,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/567,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1031,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1002,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1005,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/521,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1852,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1033,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2639,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1078,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1074,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1952,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/998,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1866,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1087,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1079,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2666,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1022,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1011,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1879,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2663,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1870,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/571,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1103,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1791,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2662,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1018,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1003,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1070,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/747,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1737,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1825,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/3727,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2787,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1014,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1035,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2599,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/986,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4351,col_123456789_40
